epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,586.125,1.04717,2.33429,1.3945,0.32348,0.28865,0.23338,0.07908,1.78666,3.24256,1.96747,0.00333234,0.00333234,0.00333234
2,1145.21,0.87653,1.66555,1.21778,0.3495,0.30885,0.25908,0.08925,1.763,3.22157,1.89624,0.00653369,0.00653369,0.00653369
3,1698.52,0.86659,1.62909,1.20637,0.36919,0.33427,0.29732,0.10704,1.74357,3.04215,1.84592,0.00960305,0.00960305,0.00960305
4,2251.04,0.85657,1.57257,1.20074,0.41025,0.35795,0.31564,0.11264,1.73784,2.98329,1.91271,0.009406,0.009406,0.009406
5,2805.51,0.84755,1.51785,1.19773,0.40676,0.40474,0.35244,0.12907,1.68671,2.91857,1.8635,0.009208,0.009208,0.009208
6,3357.06,0.83187,1.46785,1.18004,0.43721,0.38952,0.36752,0.13807,1.68139,2.82615,1.83798,0.00901,0.00901,0.00901
7,3910.44,0.81793,1.41734,1.17068,0.46388,0.4081,0.40001,0.14913,1.68051,2.76129,1.80861,0.008812,0.008812,0.008812
8,4463.45,0.80709,1.39395,1.16277,0.46709,0.40817,0.40365,0.15224,1.66755,2.7152,1.80035,0.008614,0.008614,0.008614
9,5018.73,0.79475,1.34975,1.15704,0.47134,0.41831,0.41987,0.15968,1.64334,2.70397,1.8048,0.008416,0.008416,0.008416
10,5576.91,0.79332,1.33662,1.15393,0.46795,0.43455,0.41667,0.15896,1.64857,2.67398,1.77517,0.008218,0.008218,0.008218
11,6133.59,0.78309,1.31288,1.14661,0.46322,0.44806,0.43967,0.16905,1.65692,2.59991,1.76539,0.00802,0.00802,0.00802
12,6690.05,0.76907,1.27555,1.13779,0.47905,0.44157,0.43135,0.16619,1.62566,2.63927,1.77289,0.007822,0.007822,0.007822
13,7246.25,0.76498,1.25575,1.13397,0.4847,0.46167,0.44462,0.172,1.64572,2.57022,1.74781,0.007624,0.007624,0.007624
14,7799.33,0.75601,1.23002,1.12778,0.48235,0.4578,0.44227,0.16985,1.64029,2.56585,1.77046,0.007426,0.007426,0.007426
15,8352.53,0.74486,1.20223,1.11659,0.49063,0.4669,0.45475,0.17461,1.63955,2.52745,1.71718,0.007228,0.007228,0.007228
16,8909.3,0.75324,1.20647,1.11937,0.49162,0.47297,0.45981,0.18123,1.6345,2.50204,1.7245,0.00703,0.00703,0.00703
17,9466.99,0.74408,1.18133,1.11455,0.49952,0.48478,0.46727,0.18546,1.63571,2.44631,1.72039,0.006832,0.006832,0.006832
18,10027,0.73288,1.15186,1.10662,0.49434,0.48939,0.47322,0.18661,1.63358,2.45931,1.72181,0.006634,0.006634,0.006634
19,10586.4,0.73355,1.1491,1.11027,0.50972,0.49365,0.486,0.18949,1.64069,2.44357,1.71964,0.006436,0.006436,0.006436
20,11146.5,0.7273,1.13003,1.10651,0.49039,0.50788,0.47877,0.18609,1.63872,2.42286,1.7047,0.006238,0.006238,0.006238
21,11704.7,0.72592,1.12629,1.10068,0.50895,0.48826,0.4736,0.18837,1.62687,2.4101,1.69478,0.00604,0.00604,0.00604
22,12259.2,0.71394,1.09768,1.09646,0.53304,0.48409,0.48939,0.19434,1.63065,2.40785,1.69989,0.005842,0.005842,0.005842
23,12820,0.71662,1.08997,1.09412,0.54316,0.49125,0.50548,0.20302,1.61825,2.36394,1.70939,0.005644,0.005644,0.005644
24,13376.9,0.70285,1.06223,1.08398,0.55259,0.50559,0.51953,0.20936,1.61592,2.3242,1.68434,0.005446,0.005446,0.005446
25,13933.3,0.70558,1.0628,1.08557,0.5408,0.50396,0.5143,0.20748,1.61595,2.33199,1.69649,0.005248,0.005248,0.005248
26,14488.5,0.70167,1.04074,1.08258,0.55452,0.51905,0.51767,0.20993,1.6155,2.30253,1.6967,0.00505,0.00505,0.00505
27,15044.8,0.69662,1.03784,1.08135,0.55342,0.53246,0.52677,0.21546,1.61448,2.28365,1.69142,0.004852,0.004852,0.004852
28,15600.9,0.69458,1.02039,1.07759,0.56715,0.51943,0.53165,0.21851,1.61434,2.26348,1.69574,0.004654,0.004654,0.004654
29,16158,0.69443,1.01685,1.07834,0.55672,0.5181,0.52427,0.21523,1.62001,2.26634,1.68706,0.004456,0.004456,0.004456
30,16714.5,0.68849,0.99192,1.0722,0.56984,0.5245,0.52798,0.21408,1.62296,2.25184,1.70192,0.004258,0.004258,0.004258
31,17272,0.68017,0.98531,1.06958,0.55518,0.53679,0.52858,0.21608,1.61911,2.24482,1.69943,0.00406,0.00406,0.00406
32,17828.8,0.67652,0.97595,1.06458,0.56185,0.54176,0.53768,0.21571,1.63131,2.25687,1.69068,0.003862,0.003862,0.003862
33,18387.8,0.6758,0.95988,1.06351,0.55995,0.54596,0.53889,0.21827,1.6319,2.23134,1.70679,0.003664,0.003664,0.003664
34,18948.1,0.67199,0.9423,1.06092,0.56754,0.54056,0.54616,0.21954,1.64531,2.21085,1.7123,0.003466,0.003466,0.003466
35,19503.9,0.67379,0.9433,1.0632,0.57137,0.54819,0.54247,0.22021,1.63861,2.21027,1.70569,0.003268,0.003268,0.003268
36,20059.9,0.67187,0.93987,1.06008,0.57181,0.53795,0.54248,0.22275,1.62747,2.19417,1.70288,0.00307,0.00307,0.00307
37,20615,0.66254,0.92038,1.05534,0.57715,0.55546,0.55235,0.22602,1.63851,2.17816,1.70493,0.002872,0.002872,0.002872
38,21169,0.65814,0.90094,1.04657,0.58312,0.54873,0.55055,0.22577,1.6417,2.18827,1.70138,0.002674,0.002674,0.002674
39,21726.1,0.65931,0.8989,1.04904,0.5802,0.55296,0.55723,0.22673,1.64317,2.17756,1.69896,0.002476,0.002476,0.002476
40,22280.9,0.65463,0.89237,1.04801,0.58761,0.55214,0.55743,0.22671,1.64602,2.16422,1.707,0.002278,0.002278,0.002278
41,22875.1,0.64001,0.76494,1.02343,0.57563,0.55172,0.55324,0.22579,1.64853,2.1778,1.71043,0.00208,0.00208,0.00208
42,23428.9,0.63309,0.74929,1.01797,0.57839,0.56066,0.54829,0.22294,1.6488,2.1713,1.70621,0.001882,0.001882,0.001882
43,23984.8,0.6286,0.72832,1.01313,0.58222,0.55957,0.55077,0.22636,1.65057,2.15733,1.71089,0.001684,0.001684,0.001684
44,24541.1,0.62296,0.71254,1.00921,0.59707,0.55902,0.55855,0.22747,1.65192,2.14821,1.71401,0.001486,0.001486,0.001486
45,25093.3,0.61743,0.6988,1.00612,0.59373,0.56071,0.55505,0.22694,1.65626,2.14087,1.71686,0.001288,0.001288,0.001288
46,25646.1,0.61485,0.69144,1.00364,0.59863,0.56034,0.56065,0.22848,1.65946,2.13907,1.72038,0.00109,0.00109,0.00109
47,26195.8,0.6087,0.67963,1.00074,0.59565,0.56049,0.56011,0.22913,1.66295,2.13916,1.7279,0.000892,0.000892,0.000892
48,26746.7,0.60509,0.66743,0.996,0.59575,0.56021,0.56014,0.22886,1.67131,2.13639,1.73325,0.000694,0.000694,0.000694
49,27296.2,0.60487,0.65953,0.99464,0.60424,0.54957,0.56008,0.22844,1.67296,2.14261,1.7333,0.000496,0.000496,0.000496
50,27844.3,0.59648,0.64688,0.99284,0.60892,0.55312,0.55901,0.2281,1.67821,2.15109,1.74374,0.000298,0.000298,0.000298
