epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,587.575,1.03896,3.00874,1.3958,0.30697,0.27788,0.21856,0.07249,1.81282,4.28793,1.99938,0.00333234,0.00333234,0.00333234
2,1150.04,0.87216,2.18617,1.22682,0.32998,0.29914,0.24276,0.08192,1.75308,4.16301,1.90514,0.00653369,0.00653369,0.00653369
3,1754.52,0.89585,2.21813,1.22972,0.32672,0.29788,0.24757,0.08422,1.7853,4.1478,1.91321,0.00960305,0.00960305,0.00960305
4,2450.44,0.89997,2.21684,1.23716,0.34935,0.31834,0.26959,0.09551,1.72317,4.10776,1.92845,0.009406,0.009406,0.009406
5,3162.35,0.88053,2.12939,1.23024,0.3735,0.3514,0.30808,0.10896,1.70558,3.94531,1.87758,0.009208,0.009208,0.009208
6,3867.22,0.8568,2.02604,1.21307,0.40926,0.37234,0.32352,0.11863,1.71481,3.91228,1.84884,0.00901,0.00901,0.00901
7,4573.74,0.8402,1.94867,1.19933,0.40427,0.36781,0.32833,0.12152,1.69511,3.73348,1.84749,0.008812,0.008812,0.008812
8,5280.35,0.82526,1.90218,1.1896,0.43794,0.38126,0.36834,0.13481,1.67146,3.71762,1.84002,0.008614,0.008614,0.008614
9,5973.17,0.81629,1.8591,1.1827,0.41964,0.39833,0.37572,0.13992,1.68041,3.63367,1.81055,0.008416,0.008416,0.008416
10,6670.55,0.80777,1.81685,1.17493,0.46214,0.42527,0.40031,0.14985,1.65483,3.59757,1.80916,0.008218,0.008218,0.008218
11,7368.32,0.79765,1.77678,1.16381,0.47261,0.44419,0.41184,0.15448,1.66058,3.48886,1.80423,0.00802,0.00802,0.00802
12,8067.17,0.78609,1.74409,1.15913,0.44316,0.42963,0.39955,0.152,1.65332,3.5508,1.79354,0.007822,0.007822,0.007822
13,8765.25,0.77845,1.71137,1.15274,0.46033,0.43546,0.41027,0.15533,1.64195,3.44202,1.76334,0.007624,0.007624,0.007624
14,9408.34,0.76751,1.67487,1.14703,0.47191,0.45461,0.43231,0.16267,1.62268,3.44183,1.76506,0.007426,0.007426,0.007426
15,10036.2,0.76563,1.65233,1.14448,0.48677,0.44916,0.43836,0.17137,1.6308,3.37823,1.76849,0.007228,0.007228,0.007228
16,10668.3,0.75631,1.62239,1.138,0.48348,0.45537,0.44516,0.17199,1.61578,3.38542,1.75209,0.00703,0.00703,0.00703
17,11302.3,0.74853,1.58728,1.13037,0.47963,0.44561,0.44093,0.17326,1.61472,3.32819,1.75256,0.006832,0.006832,0.006832
18,11942.9,0.74786,1.58274,1.1299,0.49449,0.46247,0.44926,0.17579,1.61582,3.33418,1.74592,0.006634,0.006634,0.006634
19,12576.5,0.739,1.54564,1.12128,0.49282,0.47089,0.45749,0.17879,1.60851,3.28995,1.72104,0.006436,0.006436,0.006436
20,13208.9,0.73824,1.54073,1.12165,0.51134,0.46741,0.46657,0.18404,1.6004,3.28032,1.71785,0.006238,0.006238,0.006238
21,13840.8,0.72862,1.50886,1.11548,0.50354,0.48035,0.47362,0.18616,1.61737,3.23462,1.72984,0.00604,0.00604,0.00604
22,14473.5,0.73039,1.50178,1.11455,0.50788,0.48861,0.48009,0.19053,1.61453,3.19761,1.73475,0.005842,0.005842,0.005842
23,15103.9,0.72463,1.48284,1.11247,0.51417,0.48861,0.48058,0.18863,1.5985,3.18834,1.73685,0.005644,0.005644,0.005644
24,15732.3,0.71885,1.46293,1.11275,0.51924,0.49339,0.48367,0.19124,1.61204,3.15566,1.72892,0.005446,0.005446,0.005446
25,16360.6,0.71761,1.44232,1.1046,0.50242,0.49407,0.48277,0.19121,1.61094,3.16171,1.71776,0.005248,0.005248,0.005248
26,16996.6,0.70779,1.41561,1.09759,0.52964,0.49854,0.4948,0.19721,1.6043,3.11893,1.71585,0.00505,0.00505,0.00505
27,17749.4,0.70844,1.39979,1.09643,0.53288,0.5115,0.50544,0.20077,1.61,3.06489,1.70885,0.004852,0.004852,0.004852
28,18497.9,0.71025,1.39045,1.09829,0.51138,0.51173,0.50216,0.20042,1.61082,3.08916,1.71263,0.004654,0.004654,0.004654
29,19147.2,0.70544,1.37857,1.0939,0.54223,0.51383,0.51525,0.20658,1.61234,3.04948,1.71286,0.004456,0.004456,0.004456
30,19787.1,0.70222,1.36064,1.09193,0.54912,0.51487,0.51512,0.20659,1.61129,3.03638,1.71348,0.004258,0.004258,0.004258
31,20428.7,0.69719,1.34191,1.08547,0.55422,0.51317,0.517,0.2088,1.59923,3.03239,1.70583,0.00406,0.00406,0.00406
32,21071.6,0.68787,1.32188,1.07941,0.54384,0.5151,0.52001,0.20739,1.6099,3.0077,1.71558,0.003862,0.003862,0.003862
33,21713.2,0.68431,1.30213,1.07708,0.56449,0.52305,0.52463,0.21028,1.61264,2.97952,1.70272,0.003664,0.003664,0.003664
34,22352.5,0.68113,1.28834,1.07252,0.57949,0.51931,0.52497,0.21276,1.60821,2.97587,1.7012,0.003466,0.003466,0.003466
35,22988.3,0.67741,1.26882,1.06769,0.57964,0.53252,0.53751,0.2171,1.61943,2.94495,1.71242,0.003268,0.003268,0.003268
36,23627,0.67342,1.26,1.06943,0.56167,0.53776,0.53145,0.21729,1.61004,2.94321,1.69885,0.00307,0.00307,0.00307
37,24271.5,0.67067,1.24213,1.06594,0.56019,0.54011,0.53813,0.2196,1.61194,2.92193,1.70566,0.002872,0.002872,0.002872
38,24987.6,0.67022,1.23044,1.06709,0.58695,0.52734,0.53873,0.22114,1.61786,2.91222,1.71067,0.002674,0.002674,0.002674
39,25710.1,0.66929,1.23015,1.06696,0.5789,0.53458,0.53682,0.21981,1.61984,2.91085,1.71402,0.002476,0.002476,0.002476
40,26408,0.66538,1.20509,1.06281,0.58243,0.53791,0.54392,0.22087,1.62592,2.89618,1.72667,0.002278,0.002278,0.002278
41,27210.9,0.64906,1.05036,1.03934,0.58104,0.53601,0.54483,0.22265,1.63039,2.89022,1.73223,0.00208,0.00208,0.00208
