epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,42632.4,1.10756,0.9393,1.16376,0.48692,0.48636,0.69968,0.48434,2.01933,1.76328,1.6992,0.005842,0.005842,0.005842
44,43603.4,1.10631,0.92251,1.15622,0.51066,0.48294,0.71254,0.48921,2.02955,1.74564,1.69858,0.005743,0.005743,0.005743
45,44573.6,1.10389,0.92475,1.15868,0.5304,0.48959,0.72164,0.49177,2.02729,1.73137,1.68782,0.005644,0.005644,0.005644
46,45542.5,1.09944,0.9233,1.15874,0.52193,0.49731,0.72297,0.49475,2.01331,1.72186,1.6779,0.005545,0.005545,0.005545
47,46513.4,1.09975,0.91616,1.15548,0.51472,0.50439,0.72763,0.49705,2.01818,1.70813,1.67752,0.005446,0.005446,0.005446
48,47484.8,1.09068,0.91189,1.15151,0.51037,0.50284,0.72925,0.4966,2.02432,1.70241,1.68277,0.005347,0.005347,0.005347
49,48456.1,1.09591,0.90874,1.15417,0.51189,0.49954,0.72685,0.49449,2.02563,1.70782,1.68541,0.005248,0.005248,0.005248
50,49426,1.0891,0.9034,1.15054,0.51576,0.49924,0.72706,0.49582,2.02315,1.7066,1.68235,0.005149,0.005149,0.005149
51,50398.4,1.08999,0.89772,1.14714,0.51741,0.49628,0.72756,0.49634,2.02427,1.70505,1.68252,0.00505,0.00505,0.00505
52,51366.9,1.09561,0.90478,1.14974,0.51905,0.49293,0.72852,0.49729,2.02202,1.70319,1.68407,0.004951,0.004951,0.004951
53,52336.1,1.08384,0.88966,1.14396,0.52124,0.49426,0.73384,0.49885,2.02423,1.68586,1.68368,0.004852,0.004852,0.004852
54,53305.5,1.08556,0.89083,1.14341,0.52763,0.50687,0.73529,0.50062,2.0218,1.67884,1.68122,0.004753,0.004753,0.004753
55,54275.9,1.08943,0.89074,1.14652,0.52398,0.50681,0.73396,0.50069,2.02483,1.67127,1.67957,0.004654,0.004654,0.004654
56,55245.5,1.07352,0.87851,1.13642,0.53415,0.50549,0.74002,0.50165,2.02612,1.66328,1.67649,0.004555,0.004555,0.004555
57,56214,1.07351,0.87689,1.13633,0.52785,0.50854,0.74464,0.50377,2.01917,1.65575,1.67013,0.004456,0.004456,0.004456
58,57186.3,1.07067,0.86859,1.13593,0.52666,0.5135,0.74889,0.50551,2.01659,1.6578,1.66972,0.004357,0.004357,0.004357
59,58187.8,1.05709,0.85962,1.12832,0.52475,0.51932,0.7486,0.50561,2.01353,1.65958,1.66779,0.004258,0.004258,0.004258
60,59192.1,1.06932,0.86648,1.13532,0.51995,0.51996,0.74908,0.50674,2.01376,1.65413,1.66903,0.004159,0.004159,0.004159
61,60183.1,1.06704,0.8614,1.13146,0.52767,0.51856,0.75093,0.50743,2.01562,1.65068,1.66903,0.00406,0.00406,0.00406
62,61184.6,1.06344,0.85842,1.13308,0.53176,0.5237,0.75224,0.50915,2.0113,1.64645,1.66815,0.003961,0.003961,0.003961
63,62173.2,1.06483,0.85749,1.13226,0.53266,0.52022,0.75334,0.50906,2.00924,1.64248,1.66737,0.003862,0.003862,0.003862
64,63176.3,1.05541,0.84806,1.12586,0.53805,0.52456,0.75507,0.50989,2.00814,1.63809,1.66717,0.003763,0.003763,0.003763
65,64165.1,1.05912,0.84442,1.12756,0.54191,0.51844,0.75312,0.51104,2.00566,1.63275,1.66573,0.003664,0.003664,0.003664
66,65156.4,1.05447,0.83801,1.12308,0.54145,0.51735,0.75448,0.51099,2.00541,1.62899,1.66454,0.003565,0.003565,0.003565
67,66270.5,1.04172,0.8249,1.12013,0.54013,0.5181,0.75523,0.51163,2.00596,1.62545,1.66386,0.003466,0.003466,0.003466
68,67455.6,1.0521,0.83574,1.12096,0.54168,0.52061,0.75622,0.51246,2.00574,1.62358,1.66204,0.003367,0.003367,0.003367
69,68577.9,1.04008,0.8202,1.11718,0.54042,0.52299,0.75806,0.51269,2.00628,1.61994,1.66097,0.003268,0.003268,0.003268
70,69695.8,1.03893,0.81867,1.11365,0.53838,0.52451,0.75829,0.51345,2.00744,1.61747,1.66086,0.003169,0.003169,0.003169
71,70816.7,1.03982,0.82022,1.11627,0.54157,0.52567,0.75996,0.5138,2.00734,1.61355,1.6603,0.00307,0.00307,0.00307
72,71942.8,1.04066,0.81381,1.11552,0.54142,0.5288,0.76072,0.51433,2.00844,1.61036,1.6604,0.002971,0.002971,0.002971
73,73101.9,1.02827,0.80232,1.10591,0.53794,0.53154,0.76145,0.51466,2.00881,1.60744,1.65978,0.002872,0.002872,0.002872
74,74246.6,1.0245,0.80573,1.10772,0.5386,0.53123,0.76117,0.51547,2.00812,1.60521,1.65857,0.002773,0.002773,0.002773
75,75330,1.02954,0.8041,1.10893,0.5398,0.53099,0.76298,0.51621,2.008,1.60156,1.6582,0.002674,0.002674,0.002674
76,76512.7,1.02717,0.79418,1.10602,0.54339,0.52912,0.76365,0.51635,2.00758,1.59866,1.65781,0.002575,0.002575,0.002575
77,77679.5,1.02675,0.79479,1.10821,0.54537,0.53064,0.76481,0.51716,2.00723,1.59619,1.65726,0.002476,0.002476,0.002476
78,78831.6,1.02324,0.79061,1.1049,0.54985,0.53082,0.76638,0.51779,2.00693,1.5944,1.65727,0.002377,0.002377,0.002377
79,79902.5,1.02053,0.78735,1.10512,0.54794,0.53379,0.76678,0.5186,2.00675,1.5926,1.65638,0.002278,0.002278,0.002278
80,80994.4,1.01588,0.78006,1.10255,0.54952,0.53615,0.76862,0.5194,2.00686,1.58937,1.65597,0.002179,0.002179,0.002179
81,82047.5,1.01733,0.78078,1.1043,0.54655,0.54073,0.76931,0.51957,2.00695,1.58677,1.65623,0.00208,0.00208,0.00208
82,83055.1,1.00847,0.76749,1.09495,0.54354,0.54436,0.77054,0.51996,2.00707,1.58409,1.65592,0.001981,0.001981,0.001981
83,84048.2,1.01351,0.77367,1.09907,0.54295,0.54445,0.77077,0.5205,2.00759,1.58247,1.65589,0.001882,0.001882,0.001882
84,85060.7,1.01047,0.77331,1.09885,0.54458,0.54403,0.77152,0.52077,2.00778,1.57945,1.65603,0.001783,0.001783,0.001783
85,86067.2,1.00296,0.76084,1.09301,0.54183,0.5456,0.77231,0.52143,2.00749,1.57661,1.65605,0.001684,0.001684,0.001684
86,87085.4,1.00359,0.75529,1.08994,0.54294,0.54885,0.77329,0.52158,2.00719,1.57464,1.65546,0.001585,0.001585,0.001585
87,88087.2,1.0013,0.75975,1.09029,0.54389,0.55022,0.77416,0.52206,2.00646,1.57274,1.65456,0.001486,0.001486,0.001486
88,89091.4,0.99642,0.74937,1.09063,0.54322,0.55189,0.77537,0.52233,2.00634,1.57055,1.65409,0.001387,0.001387,0.001387
89,90104.8,0.99153,0.7462,1.08975,0.54534,0.55122,0.77619,0.52306,2.00629,1.56852,1.65358,0.001288,0.001288,0.001288
90,91110.3,0.99629,0.74324,1.08681,0.54669,0.54815,0.77677,0.52336,2.0066,1.56653,1.65314,0.001189,0.001189,0.001189
91,92092.6,0.8908,0.63024,1.0587,0.54822,0.54902,0.77744,0.52397,2.00682,1.56497,1.65284,0.00109,0.00109,0.00109
92,93055.8,0.88055,0.62032,1.0575,0.5492,0.5492,0.77727,0.52415,2.00688,1.56344,1.65246,0.000991,0.000991,0.000991
93,94017.1,0.87721,0.60978,1.0539,0.54966,0.54967,0.7788,0.52472,2.00685,1.56149,1.65247,0.000892,0.000892,0.000892
94,94975.9,0.87733,0.60507,1.05617,0.54843,0.55184,0.78013,0.52528,2.00733,1.55919,1.65267,0.000793,0.000793,0.000793
95,95934.5,0.87457,0.59808,1.05731,0.54955,0.55318,0.78164,0.52584,2.00772,1.55669,1.6529,0.000694,0.000694,0.000694
96,96895.8,0.86537,0.59136,1.05197,0.55234,0.55019,0.78209,0.52615,2.00779,1.5547,1.65281,0.000595,0.000595,0.000595
97,97855.2,0.85878,0.58594,1.04619,0.5573,0.54683,0.78312,0.52714,2.00829,1.55247,1.65306,0.000496,0.000496,0.000496





